1,BT23LUP,VOLVO,VERDE
1,BT23LUP,VOLVO,VERDE
1,BT23LUP,VOLVO,VERDE
1,BT23LUP,VOLVO,VERDE
1,BT23MRY,AUDI,NEGRU
1,SV54RHF,BMW,GRI
1,BT23MRY,AUDI,NEGRU
1,SV54RHF,BMW,GRI
1,bt74mry,audi,verde
1,bt74mry,audi,verde
1,bt74mry,audi,verde
1,bt74mry,audi,verde
1,bt74mry,audi,verde
1,bt74mry,audi,verde
2,DFJD,VOLVO,ROZ
1,bt74mry,audi,verde
2,DFJD,VOLVO,ROZ
1,bt74mry,audi,verde
2,DFJD,VOLVO,ROZ
1,bt74mry,audi,verde
2,DFJD,VOLVO,ROZ
1,BT64VNT,VW,GALBEN 
1,BT64VNT,VW,GALBEN 
1,BT64VNT,VW,GALBEN 
1,BT64VNT,VW,GALBEN 
1,BT64VNT,VW,GALBEN 
1,BT64VNT,VW,GALBEN 
1,BT64VNT,VW,GALBEN 
1,BT64VNT,VW,GALBEN 
2,BDJSJF,FJSF,FHSK
1,BT64VNT,VW,GALBEN 
2,BDJSJF,FJSF,FHSK
1,BT64VNT,VW,GALBEN 
2,BDJSJF,FJSF,FHSK
1,BT64VNT,VW,GALBEN 
2,BDJSJF,FJSF,FHSK
1,BT64VNT,VW,GALBEN 
2,BDJSJF,FJSF,FHSK
0,BT35JFH,VOLVO,VERDE
1,BTDKFF,DSJL,DHSJK
